Site,Conductivity,Chloride
ShCr0519,448.8,27.07
ShCr0519,451.9,28.45
ShCr0519,499.1,21.73
ShCr0519,513.6,20.7
ShCr0519,450,21.81
ShCr0519,538,
ShCr0519,630,
ShCr0520,480.1,59.77
ShCr0520,507,
ShCr0520,537.6,
ShCr0520,493,22.7
ShCr0520,542,23.9
ShCr0520,457.6,40.4
ShCr0520,569,57.31
ShCr0520,645,64.96
ShCr0520,645,54.65
ShCr0520,592,65.74
ShCr0520,406.4,29.12
ShCr0520,573,36.98
ShCr0520,599,42.4
ShCr0520,627.5,51.28
ShCr0520,581.1,40.77
ShCr0521,524.2,45.24
ShCr0521,534.2,53.07
ShCr0521,562.8,92.43
ShCr0521,598,53.46
ShCr0521,626,53.63
ShCr0521,526.9,45.33
ShCr0521,422.7,23.28
ShCr0521,526.6,42.76
ShCr0521,544.3,37.45
ShCr0521,380.4,26.05
ShCr0521,434.5,29.18
ShCr0521,504.6,35.2
ShCr0521,516.1,37.4
ShCr0521,588,49.17
