Site,Conductivity,Chloride
WeCr0919,383.9,25.47
WeCr0919,432.3,25.75
WeCr0919,389.7,35.24
WeCr0919,373.1,34.4
WeCr0919,401.1,25.34
WeCr0919,380,30.17
WeCr0919,314.7,21.65
WeCr0919,406,23.71
WeCr0919,380.4,17.43
WeCr0919,431,23.72
WeCr0919,431.2,23.67
WeCr0919,476.4,
WeCr0919,250.7,
WeCr0920,417.5,39.7
WeCr0920,462.9,
WeCr0920,496.2,
WeCr0920,509,
WeCr0920,397.1,13.85
WeCr0920,500,22.68
WeCr0920,429.7,39.54
WeCr0920,558,53.25
WeCr0920,505,63.55
WeCr0920,358.1,46.32
WeCr0920,519,69.97
WeCr0920,510,50.09
WeCr0920,326,31.1
WeCr0920,498.8,38.15
WeCr0920,529.4,47.46
WeCr0920,540.2,54.48
WeCr0921,548,29.15
WeCr0921,456.5,37.61
WeCr0921,419.2,23.27
WeCr0921,426.9,19.34
WeCr0921,402.3,213
WeCr0921,544,26.37
WeCr0921,513,26.38
WeCr0921,482.3,26.28
WeCr0921,455.9,24.44
WeCr0921,417.2,19.04
WeCr0921,286.2,12.54
WeCr0921,434.1,20.65
WeCr0921,440.3,21.07
WeCr0921,532.7,32.14
WeCr0921,526,25.24
