Date,Julian Day,Time,Air Temp,Site,Conductivity,Water Temp,pH,Salinity,Turbidity,DO,Chloride
12/11/2019,710,12:51,-2.78,BfCr02,343.7,3.9,7.78,0.16,,,6.69
12/19/2019,718,14:49,-3.33,BfCr02,405,1,8.56,0.19,,17.6,19.14
12/26/2019,725,11:58,11.11,BfCr02,455.5,2.6,8.07,0.22,,15.07,19.12
1/8/2020,738,9:25,1.11,BfCr02,423.1,2.9,8.9,0.2,,14.28,18.51
2/5/2020,766,11:36,2.22,BfCr02,402.5,5.9,9.06,0.19,,14.07,19.43
2/28/2020,789,11:22,-2.22,BfCr02,395.6,2.7,9.11,0.19,,20.28,31.5
12/11/2019,710,9:26,-6.11,ChCr01,871,2.9,8.43,0.43,,,28.47
12/18/2019,717,9:53,-4.44,ChCr01,853.1,3.2,8.43,0.42,,15.92,42.85
12/26/2019,725,8:16,5,ChCr01,1177,3.6,8.41,0.58,,14.66,55.24
1/8/2020,738,11:00,1.11,ChCr01,955,3.9,7.46,0.47,,13.01,46.08
1/20/2020,750,12:05,-3.33,ChCr01,888,2.6,8.42,0.43,,14.73,51.23
1/28/2020,758,12:45,1.11,ChCr01,846,5.3,8.54,0.42,,13.51,49.44
2/10/2020,771,12:53,1.11,ChCr01,693.4,7,8.61,0.34,,12.36,52.35
2/18/2020,779,12:53,10,ChCr01,822,7.9,8.47,0.41,,11.74,46.59
2/25/2020,786,12:19,5,ChCr01,941,7.5,7.94,0.47,,12.26,45.91
12/11/2019,710,13:10,-2.78,CmCr,349.1,4.4,7.87,0.17,,,5.13
12/19/2019,718,15:10,-3.33,CmCr,391.9,2.2,8.26,0.19,,13.95,6.21
12/26/2019,725,12:18,11.11,CmCr,441.2,4.3,8.01,0.21,,13.8,11.7
1/8/2020,738,9:48,1.11,CmCr,343.6,3.5,8.03,0.16,,11.54,7.2
2/5/2020,766,11:46,2.22,CmCr,412.1,5.7,8.5,0.2,,16.41,9.26
2/28/2020,789,11:48,-2.22,CmCr,405.6,3.8,8.39,0.19,,14.63,10.14
12/11/2019,710,10:14,-5,CsCr,736.7,3.5,7.61,0.36,,,58.71
12/18/2019,717,10:39,-4.44,CsCr,750.7,3.9,7.51,0.37,,15.26,61.73
12/26/2019,725,9:13,5.56,CsCr,900,4.2,7.29,0.44,,15.24,62.81
1/8/2020,738,11:48,1.11,CsCr,808.1,4.5,7.43,0.4,,11.3,85.3
1/20/2020,750,12:53,-3.33,CsCr,784.3,3.1,7.57,0.38,,12.37,100.79
1/28/2020,758,13:35,1.11,CsCr,741.2,5.1,7.63,0.36,,11.02,82.86
2/10/2020,771,13:38,1.11,CsCr,661.8,6.6,7.79,0.32,,14.11,108.86
2/18/2020,779,13:30,10,CsCr,1153,7.4,7.48,0.57,,10.14,306.73
