Site,Conductivity
WeCr0719,493.60
WeCr0719,468.30
WeCr0719,461.70
WeCr0719,441.60
WeCr0719,477.60
WeCr0719,465.50
WeCr0719,378.10
WeCr0719,427.00
WeCr0719,478.10
WeCr0719,396.20
WeCr0719,525.70
WeCr0719,573.00
WeCr0719,619.00
WeCr0719,434.20
WeCr0719,594.00
WeCr0720,434.20
WeCr0720,508.80
WeCr0720,454.40
WeCr0720,561.00
WeCr0720,496.70
WeCr0720,587.00
WeCr0720,552.00
WeCr0720,571.00
WeCr0720,560.00
WeCr0720,598.00
WeCr0720,474.80
WeCr0720,607.00
WeCr0720,656.00
WeCr0720,705.00
WeCr0720,665.00
WeCr0718,475.00
WeCr0718,518.00
WeCr0718,533.00
WeCr0718,496.00
WeCr0718,544.00
WeCr0718,568.00
WeCr0718,547.00
WeCr0718,600.00
