Site,Conductivity
WCWdCr20,744
WCWdCr20,737
WCWdCr20,669.8
WCWdCr20,652.9
WCWdCr20,663.8
WCWdCr20,680.9
WCWdCr20,697.3
WCWdCr20,666.9
WCWdCr20,675.4
WCWdCr20,614.3
WCWdCr20,1002
WCWdCr20,689.5
WCWdCr21,800.8
WCWdCr21,716.7
WCWdCr21,819.8
WCWdCr21,744.9
WcWdCr19,311
WcWdCr19,317
WcWdCr19,324
WcWdCr19,333
WcWdCr19,339
WcWdCr19,344
WcWdCr19,351
WcWdCr19,361
WcWdCr19,381
WcWdCr19,390
WcWdCr19,415
WcWdCr19,423
