Site,Conductivity
BfCr0119,427.70
BfCr0119,414.70
BfCr0119,381.30
BfCr0119,371.80
BfCr0119,380.70
BfCr0119,359.10
BfCr0119,423.00
BfCr0119,398.30
BfCr0119,416.00
BfCr0119,430.50
BfCr0119,394.00
BfCr0120,424.10
BfCr0120,438.30
BfCr0120,429.20
BfCr0120,426.60
BfCr0120,303.00
BfCr0120,379.60
BfCr0120,443.70
BfCr0120,482.80
BfCr0120,474.80
BfCr0120,466.70
BfCr0120,394.90
BfCr0120,410.30
BfCr0120,449.40
BfCr0118,365.50
BfCr0118,451.80
BfCr0118,412.40
BfCr0118,416.20
BfCr0118,431.30
BfCr0118,448.70
