Date,Julian Day,Time,Air Temp,Site,Conductivity,Water Temp,pH,Salinity,Turbidity,DO,Chloride
11/1/2019,670,,2.2,BfCr01,324.6,10.7,8.31,0.15,27.3,10.01,9.5
11/1/2019,670,,6.1,BfCr02,315,10.6,7.89,0.15,,10.51,9.88
11/1/2019,670,,2.2,CmCr,295.1,11.1,7.91,0.14,,10.61,3.93
11/1/2019,670,,7,ShCr02,754,10.7,8.02,0.37,28.9,10.02,59.29
11/1/2019,670,,7,ShCr06,734,10.7,8.27,0.37,,9.63,33.56
11/4/2019,673,11:18,12.22,ChCr01,1285,8.4,7.62,0.64,,7.44,72.17
11/4/2019,673,11:28,12.22,ChCr02,1146,7.1,7.23,0.57,,7.79,56.61
11/4/2019,673,11:40,12.22,OhRv02,276.3,11.8,7.45,0.13,,6.45,21.52
11/4/2019,673,11:52,12.22,OhRv01,278,12,7.49,0.13,,9.32,26.26
11/4/2019,673,12:03,13.33,WeCr01,451.3,7,7.49,0.22,,10.47,34.17
11/4/2019,673,12:11,13.33,CsCr,937,8.9,7.24,0.46,,10.15,96.05
11/4/2019,673,12:26,13.33,NrCr,1823,9.3,6.97,0.93,,9.16,203.74
11/4/2019,673,12:37,13.33,WeCr03,447.7,8,7.22,0.22,,9.78,38.61
11/4/2019,673,12:44,13.33,LrCr,638,8,7.51,0.31,,9.92,57.18
11/4/2019,673,12:50,13.33,WdCr,744,8.4,7.54,0.37,,10.04,75.44
11/4/2019,673,12:59,13.33,WeCr04,402.2,8.1,7.71,0.19,,10.78,31.64
11/4/2019,673,13:12,13.89,WeCr07,455.9,8.5,7.75,0.22,,10.65,34.16
11/4/2019,673,13:18,13.89,WeCr09,438.4,10.6,7.71,0.21,,7.49,25.83
11/4/2019,673,13:26,13.89,WeCr11,468.9,8.6,7.82,0.23,,8.53,43.7
11/4/2019,673,13:31,13.89,PrCr,553.9,8.7,7.81,0.27,,8.64,37.38
11/4/2019,673,13:40,13.89,FdCr,667.5,8.9,7.82,0.33,,8.86,76.99
11/11/2019,680,12:17,14.44,ChCr01,1379,9.3,7.53,0.69,,6.84,70.11
11/11/2019,680,12:28,14.44,ChCr02,1199,9.2,7.19,0.6,,6.59,54.34
11/11/2019,680,12:39,14.44,OhRv02,244.2,10,7.47,0.12,,7.73,18.97
11/11/2019,680,12:51,14.44,OhRv01,245.5,10.4,7.45,0.12,,9.17,19.06
11/11/2019,680,13:01,14.44,WeCr01,475.3,7.3,7.42,0.23,,9.67,30.95
11/11/2019,680,13:09,15.56,CsCr,947,9.8,7.23,0.47,,8.48,92.68
11/11/2019,680,13:24,15.56,NrCr,1729,11.5,7,0.88,,7.22,185.57
11/11/2019,680,13:34,15.56,WeCr03,477.9,8.7,7.37,0.23,,7.06,43.15
11/11/2019,680,13:40,15.56,LrCr,662.1,9.8,7.41,0.32,,6.11,60.2
11/11/2019,680,13:46,15.56,WdCr,737,10.1,7.5,0.36,,5.84,73.37
11/11/2019,680,13:55,15.56,WeCr04,459.3,8.8,7.72,0.22,,7.86,34.84
11/11/2019,680,14:10,17.22,WeCr07,485.8,9.4,7.84,0.24,,7.15,39.25
11/11/2019,680,14:16,17.22,WeCr09,448,11.3,7.77,0.22,,8.01,26.61
11/11/2019,680,14:25,17.22,WeCr11,490.3,9.5,7.86,0.24,,8.04,36.81
11/11/2019,680,14:29,17.22,PrCr,572.3,11,7.84,0.28,,11.18,31.83
11/11/2019,680,14:39,17.22,FdCr,685.5,10.4,7.87,0.34,,8.15,79.5
11/14/2019,683,14:20,-3,WrCr,422.5,4.1,8.11,0.2,4.33,14.23,4.23
11/14/2019,683,14:25,-3,NoFr03,439.1,12.4,8.41,0.21,8.36,13.86,12.78
11/14/2019,683,15:10,-3,NoFr01,644.5,4.3,8.02,0.31,2.21,14.38,36.86
11/14/2019,683,15:25,-3,ShCr03,653.1,4.6,8.03,0.32,3.52,14.48,39.24
11/14/2019,683,15:30,-3,ShCr02,764.2,4.2,7.95,0.37,3.48,14.79,61.66
11/14/2019,683,15:45,-3,NoFr02,338.1,4.4,8,0.27,2.47,14.83,33.3
11/14/2019,683,15:50,-3,ShCr06,829,4.6,8,0.4,8.12,14.43,75.47
11/14/2019,683,16:10,-3,ShCr05,515,4.4,8.47,0.25,2.19,14.29,15.39
11/16/2019,685,11:29,4.44,BfCr02,474.6,3.1,8.94,0.23,,13.7,11
11/16/2019,685,12:00,4.44,BfCr01,438.8,3.3,8.61,0.21,,10.59,29.52
11/16/2019,685,12:11,4.44,CmCr,473.7,3.9,8.26,0.23,,9.99,12.62
11/19/2019,688,14:19,4.44,BfCr02,528.8,3.9,8.33,0.25,,10.92,10.73
