Site,Conductivity
WCWeCr0320,447.7
WCWeCr0320,477.9
WCWeCr0320,568.6
WCWeCr0320,453.3
WCWeCr0320,319.1
WCWeCr0320,280.3
WCWeCr0320,480.2
WCWeCr0320,427.4
WCWeCr0320,327.3
WCWeCr0320,365.1
WCWeCr0320,237
WCWeCr0320,578.3
WCWeCr0320,456.6
WCWeCr0321,618.7
WCWeCr0321,540.5
WCWeCr0321,592.2
WCWeCr0321,549.1
WCWeCr0321,590.8
WCWeCr0321,615.7
WCWeCr0321,394.1
WCWeCr0321,521.2
WCWeCr0321,578.9
WCWeCr0321,602.1
WCWeCr0321,485.8
WCWeCr0321,439
WCWeCr0319,312
WCWeCr0319,317
WCWeCr0319,324
WCWeCr0319,333
WCWeCr0319,339
WCWeCr0319,344
WCWeCr0319,351
WCWeCr0319,361
WCWeCr0319,381
WCWeCr0319,390
WCWeCr0319,415
WCWeCr0319,423
