Site,Conductivity
WCShCr0220,754
WCShCr0220,764.2
WCShCr0220,1065
WCShCr0220,703.7
WCShCr0220,686.4
WCShCr0220,995
WCShCr0220,699.1
WCShCr0220,662.1
WCShCr0220,640.9
WCShCr0221,1401
WCShCr0221,947
WCShCr0221,1512
WCShCr0221,1499
WCShCr0221,953
WCShCr0221,1412
WCShCr0221,746.6
WCShCr0221,910.4
WCShCr0221,994
WCShCr0221,1245
WCShCr0221,1025
WCShCr0219,309
WCShCr0219,347
WCShCr0219,351
WCShCr0219,368
WCShCr0219,411
