Site,Conductivity,Chloride
NoFr0119,648,36.56
NoFr0119,634,35.26
NoFr0119,545.4,42.25
NoFr0119,542,34.21
NoFr0119,572,29.65
NoFr0119,496.9,26.84
NoFr0119,622,26.29
NoFr0119,644,24.64
NoFr0119,629,26.73
NoFr0119,643,32.6
NoFr0119,697,
NoFr0119,680,
NoFr0119,814,
NoFr0120,585,48.22
NoFr0120,648,
NoFr0120,684,
NoFr0120,681,
NoFr0120,640,23.74
NoFr0120,648,27.74
NoFr0120,609,57.51
NoFr0120,775,70.79
NoFr0120,823,69.19
NoFr0120,826,70.98
NoFr0120,835,87.41
NoFr0120,567,45.38
NoFr0120,747,61.52
NoFr0120,855,63.95
NoFr0120,484.5,16.13
NoFr0120,828,60.67
NoFr0118,534.4,
NoFr0118,622,
NoFr0118,626,
NoFr0118,623,
NoFr0118,717,
NoFr0118,725,
NoFr0121,649,61.19
NoFr0121,695,65.47
NoFr0121,706,108.36
NoFr0121,710,61.99
NoFr0121,739,46.35
NoFr0121,652,37.81
NoFr0121,488,23.64
NoFr0121,627,43.68
NoFr0121,682,42.23
NoFr0121,403.1,17.6
NoFr0121,484.8,28.45
NoFr0121,572,43.26
NoFr0121,598,34.67
NoFr0121,655,40.17
