Site,Conductivity,Chloride
ShCr0619,583,53.8
ShCr0619,942,162.79
ShCr0619,1119,175.45
ShCr0619,1219,213.89
ShCr0619,932,78.14
ShCr0619,1628,267.44
ShCr0619,1140,148.06
ShCr0619,1448,
ShCr0619,1727,
ShCr0620,820,91.17
ShCr0620,846,
ShCr0620,1083,
ShCr0620,1527,
ShCr0620,1508,157.92
ShCr0620,1014,66.1
ShCr0620,1845,312.81
ShCr0620,1205,161.31
ShCr0620,1508,215.3
ShCr0620,1492,183.43
ShCr0620,2749,585.27
ShCr0620,886,124.21
ShCr0620,1267,155.34
ShCr0620,2204,337.84
ShCr0620,1584,244.26
ShCr0620,2399,406.73
ShCr0621,936,107
ShCr0621,997,121.98
ShCr0621,1205,218.38
ShCr0621,1494,185.06
ShCr0621,1484,167.4
ShCr0621,1317,179.91
ShCr0621,712,60.79
ShCr0621,1571,218.75
ShCr0621,655,54.71
ShCr0621,958,96.49
ShCr0621,1180,121.6
ShCr0621,1126,126.47
ShCr0621,1817,229.91
