Site,Conductivity
WCNoFr0120,644.5
WCNoFr0120,737.5
WCNoFr0120,628.8
WCNoFr0120,510
WCNoFr0120,539.1
WCNoFr0120,618.4
WCNoFr0120,593
WCNoFr0120,565.1
WCNoFr0120,379.2
WCNoFr0121,1037
WCNoFr0121,748.7
WCNoFr0121,844
WCNoFr0121,805.3
WCNoFr0121,863.4
WCNoFr0121,803.5
WCNoFr0121,607.3
WCNoFr0121,700.9
WCNoFr0121,749.9
WCNoFr0121,729.2
WCNoFr0121,682.2
WCNoFr0119,309
WCNoFr0119,347
WCNoFr0119,351
WCNoFr0119,411
